-619.522316, 341.449768, 0.0;
-629.408863, 342.110203, 0.0;
-639.298531, 342.722133, 0.0;
-649.191082, 343.285546, 0.0;
-659.086278, 343.800427, 0.0;
-668.98388, 344.266763, 0.0;
-678.88365, 344.684544, 0.0;
-688.785351, 345.053759, 0.0;
-698.688744, 345.3744, 0.0;
-708.593607, 345.646459, 0.0;
-718.49967, 345.869928, 0.0;
-728.40671, 346.044804, 0.0;
-738.314488, 346.171081, 0.0;
-748.222767, 346.248757, 0.0;
-758.131307, 346.27783, 0.0;
-768.039871, 346.258299, 0.0;
-777.94822, 346.190164, 0.0;
-787.856116, 346.073427, 0.0;
-797.76332, 345.908092, 0.0;
-807.669594, 345.694161, 0.0;
-817.574699, 345.431641, 0.0;
-827.478397, 345.120537, 0.0;
-837.38045, 344.760856, 0.0;
-847.28062, 344.352609, 0.0;
-857.178668, 343.895803, 0.0;
-867.074356, 343.390452, 0.0;
-876.967446, 342.836565, 0.0;
-886.857701, 342.234158, 0.0;
-896.744881, 341.583244, 0.0;
-906.628749, 340.883838, 0.0;
-916.509067, 340.135959, 0.0;
-926.385598, 339.339624, 0.0;
-936.258103, 338.494851, 0.0;
-946.126346, 337.601662, 0.0;
-955.990089, 336.660078, 0.0;
-965.849065, 335.670125, 0.0;
-965.849065, 335.670125, 0.0;
-975.113393, 334.139789, 0.0;
-984.121671, 331.49014, 0.0;
-992.739195, 327.760798, 0.0;
-1000.837105, 323.00753, 0.0;
-1008.294311, 317.301411, 0.0;
-1014.999303, 310.727768, 0.0;
-1020.851821, 303.384898, 0.0;
-1025.76435, 295.3826, 0.0;
-1029.663431, 286.840534, 0.0;
-1032.490761, 277.886435, 0.0;
-1034.204062, 268.654192, 0.0;
-1034.777715, 259.281859, 0.0;
-1034.777715, 259.281859, 0.0;
-1034.777225, 249.309359, 0.0;
-1034.776736, 239.336859, 0.0;
-1034.776246, 229.364359, 0.0;
-1034.775757, 219.391859, 0.0;
-1034.775268, 209.419359, 0.0;
-1034.774778, 199.44686, 0.0;
-1034.774289, 189.47436, 0.0;
-1034.773799, 179.50186, 0.0;
-1034.77331, 169.52936, 0.0;
-1034.772821, 159.55686, 0.0;
-1034.772331, 149.58436, 0.0;
-1034.771842, 139.61186, 0.0;
-1034.771352, 129.63936, 0.0;
-1034.770863, 119.66686, 0.0;
-1034.770373, 109.69436, 0.0;
-1034.769884, 99.72186, 0.0;
-1034.769395, 89.74936, 0.0;
-1034.768905, 79.77686, 0.0;
-1034.768416, 69.80436, 0.0;
-1034.767926, 59.83186, 0.0;
-1034.767437, 49.85936, 0.0;
-1034.766948, 39.88686, 0.0;
-1034.766458, 29.914361, 0.0;
-1034.765969, 19.941861, 0.0;
-1034.765479, 9.969361, 0.0;
-1034.76499, -0.003139, 0.0;
-1034.764501, -9.975639, 0.0;
-1034.764011, -19.948139, 0.0;
-1034.763522, -29.920639, 0.0;
-1034.763032, -39.893139, 0.0;
-1034.762543, -49.865639, 0.0;
-1034.762054, -59.838139, 0.0;
-1034.761564, -69.810639, 0.0;
-1034.761075, -79.783139, 0.0;
-1034.760585, -89.755639, 0.0;
-1034.760096, -99.728139, 0.0;
-1034.759606, -109.700639, 0.0;
-1034.759117, -119.673139, 0.0;
-1034.758628, -129.645638, 0.0;
-1034.758138, -139.618138, 0.0;
-1034.757649, -149.590638, 0.0;
-1034.757159, -159.563138, 0.0;
-1034.75667, -169.535638, 0.0;
-1034.756181, -179.508138, 0.0;
-1034.755691, -189.480638, 0.0;
-1034.755202, -199.453138, 0.0;
-1034.754712, -209.425638, 0.0;
-1034.754223, -219.398138, 0.0;
-1034.753734, -229.370638, 0.0;
-1034.753244, -239.343138, 0.0;
-1034.752755, -249.315638, 0.0;
-1034.752265, -259.288138, 0.0;
-1034.751776, -269.260638, 0.0;
